web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536677536-722","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Vista Rooms Beach View 3","Vista Rooms Beach View 3House / Apartment","House / Apartment","House / Apartment","$200","Matara, 0.5 miles away from the beach","/","null"
"1536677536-800","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Subassra Guest","Subassra GuestPension","Pension","Pension","$41","Matara, 5.5 miles to City center","/","null"
"1536677536-718","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","The Dale","The DaleHotel","Hotel","Hotel","$35","Matara, 0.4 miles away from the beach","/","null"
"1536677536-696","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mirissa Harbour View","Mirissa Harbour ViewHotel","Hotel","Hotel","$18","Matara, 0.3 miles away from the beach","8.6","Excellent"
"1536677536-664","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Mirissa Cocoon","Mirissa CocoonServiced apartment","Serviced apartment","Serviced apartment","$19","Matara, 0.2 miles away from the beach","8.5","Excellent"
"1536677536-619","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sinharaja Forest Edge","Sinharaja Forest EdgeHotel","Hotel","Hotel","$42","Matara, 28.5 miles to City center","8.2","Very good"
"1536677536-659","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sethun House","Sethun HouseHouse / Apartment","House / Apartment","House / Apartment","$42","Matara, 0.2 miles away from the beach","8.5","Excellent"
"1536677536-747","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cinnamon Republic","Cinnamon RepublicHotel","Hotel","Hotel","$68","Matara, 9.5 miles to City center","/","null"
"1536677536-806","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Riverline 3d","Riverline 3dHotel","Hotel","Hotel","$15","Matara, 1.9 miles to City center","/","null"
"1536677536-676","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Nuwan Guest","Nuwan GuestB&B","B&B","B&B","$7","Matara, 0.3 miles away from the beach","8.1","Very good"
"1536677536-733","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Allan Guest House","Allan Guest HouseHotel","Hotel","Hotel","$15","Matara, right by the beach","/","null"
"1536677536-808","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=342&aGeoCode%5Blat%5D=5.949305&aGeoCode%5Blng%5D=80.535347&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=34203&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Suriya Guest Mirissa","Suriya Guest MirissaPension","Pension","Pension","$16","Matara, 0.4 miles away from the beach","/","null"
