web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536677626-851","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Tamarind Hill","Tamarind HillHotel","Hotel","Hotel","$125","Galle, 0.1 miles away from the beach","8.7","Excellent"
"1536677626-834","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Number One Mirissa","Number One MirissaHotel","Hotel","Hotel","$53","Galle, 0.9 miles to City center","8.1","Very good"
"1536677626-848","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Cantaloupe Aqua","Cantaloupe Aqua4 stars - Hotel","4 stars - Hotel","4 stars - Hotel","$76","Galle, 4.7 miles to City center","8.0","Very good"
"1536677626-900","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Leijay Resort","Leijay ResortHotel","Hotel","Hotel","$36","Galle, 1.9 miles to City center","7.7","Good"
"1536677626-887","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Fort Heaven","Fort HeavenHotel","Hotel","Hotel","$43","Galle, 0.1 miles away from the beach","7.8","Good"
"1536677626-843","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Reliqua Galle","Reliqua GalleHouse / Apartment","House / Apartment","House / Apartment","$15","Galle, 1.1 miles to City center","8.3","Very good"
"1536677626-936","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Thenu Rest","Thenu Rest2 stars - Hotel‎New","2 stars - Hotel‎New","2 stars - Hotel‎New","$25","Galle, right by the beach","7.7","Good"
"1536677626-899","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Fort Inn Guest House","Fort Inn Guest HousePension","Pension","Pension","$22","Galle, 0.2 miles away from the beach","8.1","Very good"
"1536677626-835","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Kaju Green Eco Lodges","Kaju Green Eco LodgesHouse / Apartment","House / Apartment","House / Apartment","$124","Galle, 3.8 miles to City center","8.5","Excellent"
"1536677626-933","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=339&aGeoCode%5Blat%5D=6.033401&aGeoCode%5Blng%5D=80.218384&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=33903&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Villa Vidura","Villa ViduraHotel","Hotel","Hotel","$8","Galle, 1.1 miles to City center","8.4","Very good"
