web-scraper-order,web-scraper-start-url,hotel_name,description,features,room_type,price,location,ratings,reviews
"1536676313-327","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Earls Red Colombo","Earls Red ColomboHouse / Apartment","House / Apartment","House / Apartment","$29","Colombo, 2.1 miles to City center","/","null"
"1536676313-507","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Uswetakeiyawa Beach Resort","Uswetakeiyawa Beach ResortResort","Resort","Resort","$27","Colombo, 7.5 miles to City center","/","null"
"1536676313-167","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Thilhara Days Inn","Thilhara Days InnPension","Pension","Pension","$44","Colombo, 1.2 miles to City center","7.8","Good"
"1536676313-455","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","City","CityHotel","Hotel","Hotel","$20","Colombo, 0.6 miles to City center","/","null"
"1536676313-268","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Global Towers","Global TowersHotel","Hotel","Hotel","$50","Colombo, 4.0 miles to City center","6.9","(67 reviews)"
"1536676313-316","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Modern Beachside Luxury","Modern Beachside LuxuryHotel","Hotel","Hotel","$57","Colombo, 4.3 miles to City center","/","null"
"1536676313-548","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","55 Fort Train Hostel","55 Fort Train HostelHotel","Hotel","Hotel","$25","Colombo, 0.3 miles to City center","/","null"
"1536676313-166","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","West Inn Colombo","West Inn ColomboHotel","Hotel","Hotel","$22","Colombo, 4.0 miles to City center","8.5","Excellent"
"1536676313-161","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Sapphire Colombo","Sapphire Colombo2 stars - Hotel","2 stars - Hotel","2 stars - Hotel","$70","Colombo, 4.5 miles to City center","7.3","(109 reviews)"
"1536676313-447","https://www.trivago.com/?aDateRange%5Barr%5D=2018-09-20&aDateRange%5Bdep%5D=2018-09-21&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=350&aGeoCode%5Blat%5D=6.933832&aGeoCode%5Blng%5D=79.847237&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=35003&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Island Hostel Mount Lavinia","Island Hostel Mount LaviniaHotel","Hotel","Hotel","$35","Colombo, 10.3 miles to City center","/","null"
