web-scraper-order,web-scraper-start-url,name,price,features,deals,reviews
"1534403879-28","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$105","Location","","8.2Very good (30 reviews)"
"1534403879-11","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$210","Free WiFi","","8.3Very good (709 reviews)"
"1534403879-64","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$105","","More deals from ‎$100","8.2Very good (30 reviews)"
"1534403879-12","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$210","Cleanliness","","8.3Very good (709 reviews)"
"1534403879-33","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$113","Cleanliness","","8.4Very good (1259 reviews)"
"1534403879-16","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$41","Free WiFi","","8.0Very good (48 reviews)"
"1534403879-36","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$10","Free WiFi","","8.4Very good (254 reviews)"
"1534403879-20","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$113","Free WiFi","","7.8Good (619 reviews)"
"1534403879-41","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$139","Service","","8.0Very good (650 reviews)"
"1534403879-21","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$113","Location","","7.8Good (619 reviews)"
"1534403879-3","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","Earl's Regency","$192","","","8.1Very good (1179 reviews)"
"1534403879-59","https://www.trivago.com/?aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aPriceRange%5Bfrom%5D=0&aPriceRange%5Bto%5D=0&iPathId=306&aGeoCode%5Blat%5D=7.284459&aGeoCode%5Blng%5D=80.637459&iGeoDistanceItem=0&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&aOverallLiking=1%2C2%2C3%2C4%2C5&sOrderBy=relevance%20desc&bTopDealsOnly=false&iRoomType=7&cpt=30603&iIncludeAll=0&iViewType=0&bIsSeoPage=false&bIsSitemap=false&","","$66","","More deals from ‎$66","8.7Excellent (66 reviews)"
