web-scraper-order,web-scraper-start-url,name,features,review,location
"1534404587-155","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Bay Watch","","7.9Good (85 reviews)",""
"1534404587-159","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Kikili House Galle","","8.3Very good (23 reviews)",""
"1534404587-156","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Landesi By Jetwing","","8.6Excellent (61 reviews)",""
"1534404587-179","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Ceylon Olive","","","Galle, 1.6 miles to City center"
"1534404587-151","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Jetwing Lighthouse","","8.7Excellent (517 reviews)",""
"1534404587-168","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Khalid's","","","Galle, 0.2 miles away from the beach"
"1534404587-177","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Millennium Rest","","","Galle, 0.1 miles away from the beach"
"1534404587-184","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Kikili House Galle","","","Galle, 0.4 miles away from the beach"
"1534404587-183","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Beach Castle","","","Galle, right by the beach"
"1534404587-160","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","The Country House","","8.3Very good (107 reviews)",""
"1534404587-138","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=25&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Arken Lanka","Service8.5","",""
