web-scraper-order,web-scraper-start-url,name,features,review,location
"1534404658-198","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Golden World Sea View House","Location8.7","",""
"1534404658-219","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","The Galle Heritage Villa","","8.2Very good (100 reviews)",""
"1534404658-213","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Heaven By O","","8.6Excellent (54 reviews)",""
"1534404658-230","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Niyagama House","","","Galle, 4.7 miles to City center"
"1534404658-201","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Richmond Hill Villa","","8.3Very good (74 reviews)",""
"1534404658-228","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Travelers Tree","","","Galle, 0.2 miles away from the beach"
"1534404658-215","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Holiday Home Moon Light Rest","","8.4Very good (65 reviews)",""
"1534404658-231","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Ocean Crest","","","Galle, 10.2 miles to City center"
"1534404658-205","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Niyagama House","","9.1Excellent (156 reviews)",""
"1534404658-246","https://www.trivago.com/?iPathId=339&bDispMoreFilter=false&aDateRange%5Barr%5D=2018-08-25&aDateRange%5Bdep%5D=2018-08-26&aCategoryRange=0%2C1%2C2%2C3%2C4%2C5&iRoomType=7&sOrderBy=relevance%20desc&aSortingOrderBoosting%5B%5D=distance_poi&aPartner=&aOverallLiking=1%2C2%2C3%2C4%2C5&iOffset=50&iLimit=25&iIncludeAll=0&bTopDealsOnly=false&iViewType=0&aPriceRange%5Bto%5D=0&aPriceRange%5Bfrom%5D=0&aPathList=339&aGeoCode%5Blng%5D=80.218384&aGeoCode%5Blat%5D=6.033401&bIsSeoPage=false&aHotelTestClassifier=&bSharedRooms=false&bIsSitemap=false&rp=&cpt=33903&iFilterTab=0&","Kaju Green Eco Lodges","","","Galle, 3.8 miles to City center"
